Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,GLON,GLAT,Gmag,BP-RP,e_Gmag,e_BP-RP,probs
5289422310026950784,116.09535236231918,-61.16868324282123,2.441449731989226,0.066934116,-4.143162221727696,0.095215164,11.756035827045396,0.0938677,,,273.4411769354231,-17.52945195131193,17.673746790099425,2.848121161771619,0.003065759243745252,0.03702656049051322,1.0
5290667541309651584,119.64808805621064,-61.05680240660845,2.445530684647452,0.09249061,-4.056072253222988,0.11338893,11.49569891529227,0.1036732,,,274.12617534348306,-15.939758375688676,18.021380512756334,2.6105052758172533,0.003047399281078438,0.04508644342772632,1.0
5290069578780607616,123.4613381858191,-61.43456766944295,2.3889527170301244,0.012734095,-5.6799541528694135,0.016398842,10.72263324399822,0.014240368,24.158972,3.474144,275.3929215060285,-14.521037857409825,14.01874091380581,1.115998493778946,0.002806657867742202,0.005410295033650043,1.0
5290797386759788928,120.60191426887876,-60.57934376571798,2.6866320747997,0.054062363,-4.9915794432497655,0.07287636,11.187334631805534,0.07265802,24.929016,1.9495149,273.91578636917643,-15.30478802259076,12.178254566113791,0.8569787377816009,0.0027800700276254422,0.004925878307945022,1.0
5291222107484600704,122.22166693308752,-59.68811617448884,2.4632893634516844,0.012269744,-5.578537987469121,0.016392654,9.983199663629636,0.014024319,23.341461,4.4868293,273.5193893397804,-14.165592651276151,13.480239985005749,1.0301721960148722,0.0028081979834809058,0.005234943603914417,1.0
5290902733714916864,117.51700909433012,-60.99049154056394,2.6112388627557044,0.011258736,-4.238031354891369,0.015084717,12.40241403836704,0.012099701,21.262949,2.3112032,273.58006282803785,-16.831750900394944,13.526160018504262,1.0476872759116596,0.0027902236693711493,0.005102737664426554,1.0
5291245850063582080,121.47455925501048,-59.839634041358,2.343236996299063,0.08773604,-4.830460842195152,0.12189623,11.088120835014488,0.10556494,,,273.46291211732097,-14.567464993531225,18.120872932930567,2.7594175107297367,0.0030680894751696297,0.04038281716956178,1.0
5290636377025252864,118.57250389253748,-61.34437098299924,2.4804053931507566,0.013782888,-3.938160531178547,0.016589392,11.756671770356125,0.015275213,24.510277,1.9027948,274.14656567705134,-16.532030998443442,12.878703268466023,1.006145693640283,0.0028281438611440636,0.005531045481252584,1.0
5290743682487671552,119.0995476758823,-60.513667485768096,2.4187539461085144,0.010427346,-4.691073965431087,0.013806982,10.65541315665093,0.01339667,23.80664,1.8612288,273.4965902683738,-15.926908963904417,10.639578402006661,0.36943828122106304,0.0027650780982346134,0.004721739082515481,1.0
5290743648127929856,119.07766060043303,-60.526384548978456,2.3473163738493743,0.043193635,-4.513318715265902,0.05811388,11.37058701975008,0.050293427,24.099512,0.12739602,273.5032067443058,-15.942312247449276,5.203312724721943,1.6948719746733119,0.002811565842203218,0.0051721998908418115,1.0
