# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Apr 17 12:15:03 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01 -0.17553 7.00000 0.6671994328 2.3614457220    0.667 -0.757  3.5677  4.242    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 6.663 7.250 8.276 6.247
0.01 -0.17553 7.00000 0.7000000477 2.3779267258    0.700 -0.713  3.5753  4.249    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.21e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 6.551 7.094 8.075 6.114
0.01 -0.17553 7.00000 0.7500000000 2.3998889087    0.750 -0.558  3.6279  4.335    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.77e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 6.165 6.437 7.166 5.605
0.01 -0.17553 7.00000 0.7784681916 2.4109541140    0.778 -0.529  3.6313  4.335    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -2.9e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 6.092 6.348 7.063 5.527
0.01 -0.17553 7.00000 0.7978261113 2.4179617971    0.798 -0.506  3.6336  4.332    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 6.036 6.281 6.984 5.466
0.01 -0.17553 7.00000 0.8409071565 2.4322341556    0.840 -0.458  3.6397  4.331    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.915 6.129 6.805 5.334
0.01 -0.17553 7.00000 0.8456522226 2.4337042376    0.845 -0.453  3.6403  4.331    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.34e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.902 6.113 6.786 5.319
0.01 -0.17553 7.00000 0.8532807827 2.4360282957    0.853 -0.444  3.6416  4.331    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.39e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.879 6.085 6.753 5.295
0.01 -0.17553 7.00000 0.8934782743 2.4475244551    0.893 -0.388  3.6490  4.325    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.78e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.741 5.911 6.547 5.143
0.01 -0.17553 7.00000 0.9413043261 2.4597422279    0.941 -0.322  3.6587  4.320    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.3e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.576 5.702 6.299 4.962
0.01 -0.17553 7.00000 0.9869379401 2.4701395066    0.987 -0.263  3.6683  4.320    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.8e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.428 5.515 6.079 4.801
0.01 -0.17553 7.00000 0.9891304374 2.4706113457    0.989 -0.259  3.6688  4.320    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.83e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.418 5.504 6.065 4.791
0.01 -0.17553 7.00000 1.0369565487 2.4803356019    1.036 -0.180  3.6816  4.312    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.42e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.219 5.259 5.779 4.580
0.01 -0.17553 7.00000 1.0847826004 2.4890804221    1.084 -0.100  3.6945  4.303    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.94e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 5.019 5.021 5.504 4.374
0.01 -0.17553 7.00000 1.0938714743 2.4906431570    1.093 -0.085  3.6969  4.301    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.05e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 4.981 4.976 5.452 4.335
