# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 21:59:50 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0121 -0.08923 7.00000 0.5876841545 2.3125724792    0.587 -0.866  3.5457  4.208    0  0.000  0.545     0.00     0.00 -1 -1.78e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 6.935 7.678 8.863 6.610
0.0121 -0.08923 7.00000 0.6000000238 2.3211214542    0.600 -0.852  3.5476  4.210    0  0.000  0.545     0.00     0.00 -1 -1.81e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 6.899 7.629 8.800 6.567
0.0121 -0.08923 7.00000 0.6165968776 2.3320229053    0.616 -0.832  3.5513  4.217    0  0.000  0.545     0.00     0.00 -1 -1.86e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 6.849 7.556 8.701 6.504
0.0121 -0.08923 7.00000 0.6499999762 2.3520355225    0.650 -0.794  3.5575  4.227    0  0.000  0.545     0.00     0.00 -1 -1.95e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 6.755 7.421 8.525 6.389
0.0121 -0.08923 7.00000 0.6507436633 2.3524541855    0.651 -0.793  3.5577  4.227    0  0.000  0.545     0.00     0.00 -1 -1.95e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 6.753 7.418 8.521 6.386
0.0121 -0.08923 7.00000 0.6836022735 2.3699150085    0.684 -0.748  3.5657  4.236    0  0.000  0.545     0.00     0.00 -1 -2.09e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 6.640 7.255 8.306 6.248
0.0121 -0.08923 7.00000 0.7000000477 2.3779268265    0.700 -0.728  3.5691  4.240    0  0.000  0.545     0.00     0.00 -1 -2.16e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 6.591 7.184 8.213 6.187
0.0121 -0.08923 7.00000 0.7500000000 2.3998889923    0.750 -0.571  3.6231  4.329    0  0.000  0.538     0.00     0.00 -1  -2.7e-14      0.00 7.173e-01 2.704e-01 2.176e-03 5.943e-04 5.398e-03 -1.000 1.227e-02 6.198 6.492 7.245 5.652
0.0121 -0.08923 7.00000 0.7990577221 2.4183945656    0.799 -0.521  3.6288  4.329    0  0.000  0.538     0.00     0.00 -1 -2.94e-14      0.00 7.173e-01 2.704e-01 2.176e-03 5.943e-04 5.398e-03 -1.000 1.227e-02 6.073 6.338 7.066 5.514
0.0121 -0.08923 7.00000 0.8015296459 2.4192583561    0.801 -0.519  3.6291  4.329    0  0.000  0.538     0.00     0.00 -1 -2.95e-14      0.00 7.173e-01 2.704e-01 2.176e-03 5.943e-04 5.398e-03 -1.000 1.227e-02 6.067 6.330 7.056 5.508
