# Synthetic cluster MASSCLEAN parameters:
# M = 500 Mo
# z = 0.008
# log(age) = 8.0
# Av = 1.0 / E(B-V) = 0.32
# d = 3 kpc / d_m = 12.39
#
# id  x  y  V  eV  BV  eBV
234  348.381822  1570.011806  13.313706  0.021642  0.713523  0.041971
235  745.100339  1154.600887  11.976529  0.017552  -0.234887  0.028087
236  1026.190930  95.310276  13.932180  0.030433  0.957657  0.025590
237  1580.141858  1888.390915  15.466020  0.025521  1.799840  0.035732
238  1394.745454  198.759800  12.813664  0.024343  0.151991  0.022046
239  1018.635180  836.555809  13.535919  0.021586  0.522710  0.046815
240  1937.917799  1180.465300  14.258901  0.024062  0.927326  0.050144
241  996.193743  906.318575  13.324688  0.050200  0.299055  0.035315
242  1141.677886  743.945641  12.863495  0.028731  0.114835  0.034890
243  1240.400864  836.655076  12.877082  0.021748  0.180649  0.061515
244  1596.710425  1449.471004  12.670735  0.050272  0.068321  0.020962
245  16.457449  756.823786  13.288515  0.027432  0.868217  0.037285
246  143.906026  1149.705798  13.033745  0.026293  0.211013  0.023863
247  1012.621160  1227.560819  12.864599  0.021695  0.102542  0.034075
248  892.004922  341.523618  14.020954  0.025517  0.847681  0.031128
249  662.360546  761.343719  15.643108  0.047564  1.747334  0.054736
250  1680.492004  1119.809427  15.595280  0.055164  1.468212  0.030680
251  963.801437  1088.690207  13.593310  0.051882  0.555509  0.054005
252  951.805433  404.540407  17.082359  0.058559  2.222144  0.053917
253  1735.294711  804.642199  14.480021  0.026696  0.479384  0.030247
254  1956.956477  914.845659  13.453588  0.033458  0.259401  0.021835
255  1918.794049  348.018410  14.059205  0.042117  0.349314  0.022087
256  1883.051580  1819.610629  16.573507  0.034408  2.059699  0.071188
257  31.803141  893.959447  12.692911  0.023049  -0.304675  0.030921
258  287.809545  376.602557  17.849573  0.043070  2.522240  0.091379
259  818.104404  382.125754  13.909858  0.070078  0.398444  0.065295
260  149.511102  1955.985049  13.398663  0.025203  0.192864  0.023077
261  300.896665  460.002451  14.937439  0.028589  0.787780  0.032388
262  1212.566455  1857.398524  18.990034  0.119142  3.292673  0.067366
