# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sun May  2 15:39:34 CEST 2021
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0005 -1.49213 7.00000 7.7225370407 2.6226453781    7.722  3.528  4.4364  4.496    1 -4.049 -1.324 -1.467 -1.046
0.0005 -1.49213 7.00000 8.0000000000 2.6231517792    8.001  3.581  4.4431  4.485    1 -4.182 -1.423 -1.569 -1.142
0.0005 -1.49213 7.00000 8.2353744507 2.6235508919    8.235  3.624  4.4484  4.475    1 -4.290 -1.505 -1.652 -1.221
0.0005 -1.49213 7.00000 8.8069162369 2.6244184971    8.802  3.725  4.4606  4.452    1 -4.542 -1.700 -1.850 -1.409
0.0005 -1.49213 7.00000 9.0000000000 2.6246831417    8.995  3.758  4.4645  4.444    1 -4.625 -1.765 -1.916 -1.472
0.0005 -1.49213 7.00000 9.3529195786 2.6251344681    9.349  3.816  4.4712  4.429    1 -4.770 -1.880 -2.033 -1.584
0.0005 -1.49213 7.00000 9.7831163406 2.6256344318    9.780  3.885  4.4789  4.410    1 -4.944 -2.021 -2.176 -1.720
0.0005 -1.49213 7.00000 10.0000000000 2.6258678436    9.998  3.920  4.4826  4.401    1 -5.029 -2.091 -2.247 -1.789
0.0005 -1.49213 7.00000 10.3394861221 2.6262104511   10.339  3.971  4.4879  4.385    1 -5.157 -2.198 -2.355 -1.893
0.0005 -1.49213 7.00000 10.9785499573 2.6267900467   10.980  4.065  4.4973  4.355    1 -5.392 -2.395 -2.555 -2.086
0.0005 -1.49213 7.00000 11.0000000000 2.6268081665   11.002  4.068  4.4976  4.354    1 -5.400 -2.402 -2.562 -2.093
0.0005 -1.49213 7.00000 11.3432121277 2.6270873547   11.345  4.116  4.5022  4.338    1 -5.520 -2.504 -2.665 -2.193
0.0005 -1.49213 7.00000 11.7525930405 2.6273958683   11.754  4.172  4.5071  4.317    1 -5.661 -2.627 -2.788 -2.314
0.0005 -1.49213 7.00000 12.0000000000 2.6275708675   12.001  4.206  4.5100  4.303    1 -5.745 -2.700 -2.861 -2.386
0.0005 -1.49213 7.00000 12.4819402695 2.6278884411   12.479  4.269  4.5147  4.276    1 -5.902 -2.838 -3.001 -2.524
