# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 22:00:02 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0161 0.04159 7.00000 0.5500000119 2.2836582661    0.550 -0.923  3.5318  4.180    0  0.000  0.545     0.00     0.00 -1 -1.66e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 7.078 7.963 9.285 6.839
0.0161 0.04159 7.00000 0.5637084842 2.2946915627    0.563 -0.907  3.5346  4.186    0  0.000  0.545     0.00     0.00 -1 -1.69e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 7.037 7.903 9.205 6.786
0.0161 0.04159 7.00000 0.5956833959 2.3181712627    0.595 -0.871  3.5399  4.195    0  0.000  0.545     0.00     0.00 -1 -1.77e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 6.947 7.777 9.042 6.676
0.0161 0.04159 7.00000 0.6000000238 2.3211214542    0.600 -0.867  3.5405  4.197    0  0.000  0.545     0.00     0.00 -1 -1.78e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 6.937 7.764 9.025 6.664
0.0161 0.04159 7.00000 0.6291015148 2.3398010731    0.629 -0.830  3.5468  4.206    0  0.000  0.545     0.00     0.00 -1 -1.87e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 6.846 7.631 8.847 6.549
0.0161 0.04159 7.00000 0.6499999762 2.3520355225    0.650 -0.808  3.5504  4.212    0  0.000  0.545     0.00     0.00 -1 -1.92e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 6.789 7.550 8.741 6.479
0.0161 0.04159 7.00000 0.6752781272 2.3656761646    0.675 -0.776  3.5561  4.220    0  0.000  0.545     0.00     0.00 -1 -2.01e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 6.710 7.432 8.584 6.378
0.0161 0.04159 7.00000 0.7000000477 2.3779268265    0.700 -0.746  3.5614  4.227    0  0.000  0.545     0.00     0.00 -1  -2.1e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 6.634 7.321 8.436 6.283
0.0161 0.04159 7.00000 0.7122445703 2.3836336136    0.712 -0.707  3.5749  4.250    0  0.000  0.543     0.00     0.00 -1 -2.22e-14      0.00 7.065e-01 2.773e-01 2.896e-03 7.837e-04 7.110e-03 -1.000 1.616e-02 6.539 7.132 8.156 6.139
0.0161 0.04159 7.00000 0.7500000000 2.3998889923    0.750 -0.587  3.6165  4.318    0  0.000  0.538     0.00     0.00 -1 -2.63e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 6.238 6.578 7.374 5.713
0.0161 0.04159 7.00000 0.7786499858 2.4110219479    0.779 -0.560  3.6199  4.321    0  0.000  0.538     0.00     0.00 -1 -2.74e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 6.169 6.491 7.270 5.635
0.0161 0.04159 7.00000 0.8000000119 2.4187245369    0.800 -0.536  3.6224  4.319    0  0.000  0.538     0.00     0.00 -1 -2.86e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 6.111 6.419 7.186 5.571
0.0161 0.04159 7.00000 0.8353068829 2.4304745197    0.835 -0.501  3.6271  4.321    0  0.000  0.538     0.00     0.00 -1 -3.03e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 6.023 6.305 7.050 5.471
0.0161 0.04159 7.00000 0.8500000238 2.4350347519    0.850 -0.485  3.6291  4.320    0  0.000  0.538     0.00     0.00 -1 -3.13e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.982 6.252 6.988 5.425
0.0161 0.04159 7.00000 0.8999999762 2.4492788315    0.899 -0.427  3.6367  4.318    0  0.000  0.538     0.00     0.00 -1 -3.47e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.838 6.068 6.768 5.264
0.0161 0.04159 7.00000 0.9422225356 2.4599630833    0.942 -0.379  3.6433  4.316    0  0.000  0.538     0.00     0.00 -1 -3.81e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.717 5.912 6.582 5.128
0.0161 0.04159 7.00000 0.9499999285 2.4618122578    0.950 -0.369  3.6447  4.315    0  0.000  0.538     0.00     0.00 -1 -3.88e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.692 5.880 6.544 5.100
0.0161 0.04159 7.00000 1.0000000000 2.4729156494    1.000 -0.310  3.6532  4.313    0  0.000  0.538     0.00     0.00 -1 -4.35e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.544 5.691 6.319 4.935
0.0161 0.04159 7.00000 1.0499999523 2.4828116894    1.050 -0.247  3.6626  4.309    0  0.000  0.538     0.00     0.00 -1 -4.55e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.389 5.492 6.084 4.763
0.0161 0.04159 7.00000 1.0777138472 2.4878442287    1.077 -0.211  3.6682  4.306    0  0.000  0.538     0.00     0.00 -1 -4.66e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.298 5.378 5.950 4.665
0.0161 0.04159 7.00000 1.1000000238 2.4916803837    1.099 -0.177  3.6734  4.302    0  0.000  0.538     0.00     0.00 -1 -4.85e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.212 5.272 5.826 4.572
0.0161 0.04159 7.00000 1.1499999762 2.4996678829    1.149 -0.104  3.6848  4.294    0  0.000  0.538     0.00     0.00 -1 -5.18e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 5.030 5.049 5.567 4.380
0.0161 0.04159 7.00000 1.1593760252 2.5010778904    1.159 -0.091  3.6869  4.292    0  0.000  0.538     0.00     0.00 -1 -5.23e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.997 5.010 5.521 4.345
0.0161 0.04159 7.00000 1.2000000477 2.5068950653    1.200 -0.026  3.6968  4.282    0  0.000  0.538     0.00     0.00 -1 -5.58e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.834 4.818 5.300 4.178
0.0161 0.04159 7.00000 1.2304261923 2.5109636784    1.230  0.024  3.7042  4.273    0  0.000  0.538     0.00     0.00 -1 -5.84e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.711 4.675 5.137 4.053
0.0161 0.04159 7.00000 1.2500000000 2.5134611130    1.250  0.057  3.7092  4.266    0  0.000  0.538     0.00     0.00 -1 -6.05e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.626 4.578 5.027 3.968
0.0161 0.04159 7.00000 1.2917164564 2.5184946060    1.292  0.134  3.7201  4.248    0  0.000  0.538     0.00     0.00 -1 -6.56e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.436 4.364 4.786 3.778
0.0161 0.04159 7.00000 1.2999999523 2.5194499493    1.300  0.149  3.7224  4.244    0  0.000  0.538     0.00     0.00 -1 -6.68e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.397 4.320 4.738 3.739
0.0161 0.04159 7.00000 1.3067100048 2.5202136040    1.307  0.162  3.7241  4.241    0  0.000  0.538     0.00     0.00 -1 -6.76e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.365 4.286 4.699 3.709
0.0161 0.04159 7.00000 1.3431712389 2.5242104530    1.343  0.237  3.7341  4.218    0  0.000  0.538     0.00     0.00 -1 -7.38e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.178 4.081 4.472 3.526
0.0161 0.04159 7.00000 1.3500000238 2.5249314308    1.350  0.252  3.7360  4.213    0  0.000  0.538     0.00     0.00 -1 -7.52e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.141 4.041 4.427 3.490
0.0161 0.04159 7.00000 1.3615448475 2.5261316299    1.362  0.277  3.7392  4.204    0  0.000  0.538     0.00     0.00 -1 -7.74e-14      0.00 7.065e-01 2.773e-01 2.868e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 4.078 3.973 4.351 3.429
0.0161 0.04159 7.00000 1.3890166283 2.5288951397    1.389  0.342  3.7472  4.179    0  0.000  0.538     0.00     0.00 -1 -8.41e-14      0.00 7.065e-01 2.773e-01 2.867e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 3.915 3.800 4.161 3.275
0.0161 0.04159 7.00000 1.3999999762 2.5299651623    1.400  0.370  3.7504  4.168    0  0.000  0.538     0.00     0.00 -1 -8.74e-14      0.00 7.065e-01 2.773e-01 2.867e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 3.846 3.728 4.081 3.210
0.0161 0.04159 7.00000 1.4245793819 2.5322911739    1.425  0.435  3.7579  4.140    0  0.000  0.538     0.00     0.00 -1  -9.5e-14      0.00 7.065e-01 2.773e-01 2.867e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 3.682 3.557 3.893 3.057
0.0161 0.04159 7.00000 1.4495733976 2.5345637798    1.450  0.509  3.7659  4.106    0  0.000  0.538     0.00     0.00 -1 -1.06e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 3.499 3.368 3.686 2.887
0.0161 0.04159 7.00000 1.4500000477 2.5346016884    1.450  0.510  3.7660  4.106    0  0.000  0.538     0.00     0.00 -1 -1.06e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 3.495 3.364 3.682 2.884
0.0161 0.04159 7.00000 1.4679085016 2.5361742973    1.468  0.566  3.7721  4.079    0  0.000  0.538     0.00     0.00 -1 -1.14e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 3.355 3.221 3.525 2.755
0.0161 0.04159 7.00000 1.4875234365 2.5378468037    1.488  0.629  3.7790  4.050    0  0.000  0.538     0.00     0.00 -1 -1.24e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.830e-04 7.111e-03 -1.000 1.616e-02 3.198 3.060 3.349 2.611
0.0161 0.04159 7.00000 1.5000000000 2.5388846397    1.500  0.669  3.7837  4.032    0  0.000  0.538     0.00     0.00 -1 -1.31e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 3.098 2.959 3.239 2.522
0.0161 0.04159 7.00000 1.5060098171 2.5393774509    1.506  0.688  3.7859  4.024    0  0.000  0.538     0.00     0.00 -1 -1.33e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 3.050 2.911 3.185 2.479
0.0161 0.04159 7.00000 1.5262304544 2.5410027504    1.526  0.751  3.7940  3.998    0  0.000  0.538     0.00     0.00 -1  -1.4e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 2.891 2.751 3.009 2.338
0.0161 0.04159 7.00000 1.5474827290 2.5426585674    1.547  0.816  3.8033  3.977    0  0.000  0.538     0.00     0.00 -1 -1.47e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 2.730 2.588 2.827 2.199
0.0161 0.04159 7.00000 1.5499999523 2.5428512096    1.550  0.824  3.8045  3.975    0  0.000  0.538     0.00     0.00 -1 -1.48e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 2.711 2.570 2.807 2.184
0.0161 0.04159 7.00000 1.5657042265 2.5440371037    1.566  0.869  3.8122  3.965    0  0.000  0.538     0.00     0.00 -1 -1.45e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 2.599 2.458 2.679 2.092
0.0161 0.04159 7.00000 1.5837197304 2.5453643799    1.583  0.917  3.8224  3.962    0  0.000  0.538     0.00     0.00 -1  -1.4e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 2.478 2.338 2.541 1.996
0.0161 0.04159 7.00000 1.5995888710 2.5465049744    1.599  0.953  3.8327  3.971    0  0.000  0.538     0.00     0.00 -1 -1.32e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 2.387 2.248 2.433 1.929
0.0161 0.04159 7.00000 1.6000000238 2.5465342999    1.600  0.954  3.8329  3.972    0  0.000  0.538     0.00     0.00 -1 -1.32e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 2.384 2.245 2.431 1.928
0.0161 0.04159 7.00000 1.6062512398 2.5469760895    1.606  0.968  3.8375  3.978    0  0.000  0.538     0.00     0.00 -1 -1.24e-13      0.00 7.065e-01 2.773e-01 2.867e-03 7.829e-04 7.111e-03 -1.000 1.616e-02 2.351 2.213 2.391 1.907
