# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Jun  1 21:54:08 CEST 2022
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0305 0.34439 7.00000 0.7897701263 2.4150936604    0.790 -0.572  3.6110  4.304    0 6.201 6.582 7.358 5.715
0.0305 0.34439 7.00000 0.7999389172 2.4187030792    0.800 -0.561  3.6124  4.303    0 6.172 6.544 7.312 5.682
0.0305 0.34439 7.00000 0.8440737724 2.4332175255    0.844 -0.517  3.6185  4.308    0 6.064 6.397 7.135 5.557
0.0305 0.34439 7.00000 0.8498777747 2.4349975586    0.849 -0.511  3.6194  4.308    0 6.048 6.376 7.110 5.538
0.0305 0.34439 7.00000 0.8998166323 2.4492297173    0.899 -0.460  3.6264  4.309    0 5.920 6.205 6.904 5.392
0.0305 0.34439 7.00000 0.9029740095 2.4500689507    0.902 -0.457  3.6268  4.309    0 5.912 6.195 6.893 5.383
0.0305 0.34439 7.00000 0.9497554302 2.4617547989    0.949 -0.405  3.6336  4.307    0 5.782 6.029 6.700 5.237
0.0305 0.34439 7.00000 0.9996943474 2.4728515148    1.000 -0.352  3.6408  4.305    0 5.649 5.859 6.502 5.087
0.0305 0.34439 7.00000 1.0296753645 2.4789221287    1.029 -0.322  3.6451  4.305    0 5.575 5.762 6.390 5.003
0.0305 0.34439 7.00000 1.0496332645 2.4827430248    1.049 -0.301  3.6480  4.304    0 5.523 5.696 6.313 4.944
0.0305 0.34439 7.00000 1.0504425764 2.4828944206    1.050 -0.300  3.6481  4.304    0 5.521 5.693 6.310 4.942
0.0305 0.34439 7.00000 1.0995721817 2.4916083813    1.099 -0.245  3.6559  4.299    0 5.382 5.517 6.107 4.787
0.0305 0.34439 7.00000 1.1074892282 2.4929296970    1.107 -0.236  3.6572  4.299    0 5.361 5.491 6.078 4.764
0.0305 0.34439 7.00000 1.1495108604 2.4995937347    1.149 -0.188  3.6642  4.295    0 5.240 5.342 5.907 4.632
0.0305 0.34439 7.00000 1.1847629547 2.5047669411    1.184 -0.151  3.6700  4.294    0 5.146 5.225 5.773 4.530
0.0305 0.34439 7.00000 1.1994498968 2.5068192482    1.199 -0.130  3.6729  4.291    0 5.096 5.164 5.703 4.476
0.0305 0.34439 7.00000 1.2493886948 2.5133845806    1.249 -0.063  3.6826  4.280    0 4.927 4.961 5.471 4.295
0.0305 0.34439 7.00000 1.2993276119 2.5193729401    1.299  0.005  3.6924  4.269    0 4.758 4.761 5.246 4.119
0.0305 0.34439 7.00000 1.3360772133 2.5234525204    1.336  0.055  3.6996  4.259    0 4.631 4.614 5.080 3.988
0.0305 0.34439 7.00000 1.3492665291 2.5248544216    1.349  0.074  3.7023  4.255    0 4.584 4.561 5.020 3.940
0.0305 0.34439 7.00000 1.3971247673 2.5296869278    1.397  0.151  3.7127  4.235    0 4.391 4.343 4.777 3.746
