EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,_x,_y,Gmag,BP-RP,e_Gmag,e_BP-RP
99,116.1095,-24.0607,-0.021,0.288,-2.363,0.156,2.564,0.272,-0.208,-0.029,18.451,1.358,0.004,0.02
100,116.1094,-24.0606,0.506,0.391,-1.688,0.241,4.827,0.668,-0.208,-0.029,18.576,1.234,0.004,0.178
101,116.1041,-24.0649,1.009,0.016,-3.385,0.011,5.189,0.017,-0.212,-0.034,12.151,0.335,0.003,0.005
102,116.0951,-24.0615,0.554,0.165,-1.501,0.112,2.259,0.165,-0.209,-0.042,18.166,1.395,0.003,0.014
103,115.9772,-24.1028,0.284,0.127,-1.055,0.089,-0.131,0.127,-0.25,-0.149,18.268,1.398,0.003,0.018
104,115.9679,-24.1029,0.527,0.052,-2.801,0.037,2.905,0.052,-0.25,-0.158,16.802,1.216,0.003,0.007
105,115.9633,-24.1027,0.561,0.104,-2.763,0.069,-1.541,0.106,-0.25,-0.162,17.966,1.369,0.003,0.016
106,115.9678,-24.096,1.757,0.026,4.54,0.019,-5.966,0.026,-0.243,-0.158,15.417,1.417,0.003,0.005
107,115.9646,-24.1003,0.554,0.025,-2.275,0.018,0.284,0.025,-0.247,-0.161,15.315,0.808,0.003,0.005
108,115.8792,-24.0987,0.192,0.029,-2.048,0.02,1.473,0.032,-0.246,-0.239,15.602,1.824,0.003,0.005
109,115.8863,-24.0969,0.11,0.212,-0.974,0.132,0.6,0.225,-0.244,-0.233,18.967,1.258,0.003,0.06
110,115.887,-24.0995,0.398,0.02,-2.21,0.014,2.528,0.021,-0.247,-0.232,14.818,1.082,0.003,0.005
111,115.8843,-24.0964,0.364,0.016,-2.483,0.011,3.479,0.016,-0.244,-0.234,12.209,0.274,0.003,0.005
112,115.9376,-24.1022,0.395,0.084,-2.066,0.057,0.548,0.086,-0.249,-0.186,17.634,1.233,0.003,0.009
113,115.9283,-24.0961,0.709,0.037,0.824,0.026,6.27,0.038,-0.243,-0.194,16.109,1.058,0.003,0.006
114,115.9235,-24.0969,0.206,0.06,-1.278,0.042,1.914,0.063,-0.244,-0.199,17.013,1.36,0.003,0.008
115,115.9526,-24.1015,0.096,0.041,-1.39,0.029,2.223,0.041,-0.249,-0.172,16.34,1.95,0.003,0.006
116,115.9458,-24.098,0.747,0.026,-3.001,0.019,0.829,0.027,-0.245,-0.178,14.446,0.77,0.003,0.005
117,115.9462,-24.0988,0.282,0.187,-1.842,0.131,2.515,0.201,-0.246,-0.178,18.861,1.071,0.004,0.045
118,115.9605,-24.0925,0.169,0.129,-0.789,0.084,0.811,0.132,-0.24,-0.165,18.251,1.919,0.003,0.021
119,115.957,-24.0926,0.379,0.215,-5.346,0.143,6.065,0.217,-0.24,-0.168,18.926,1.76,0.003,0.032
120,115.955,-24.0896,1.007,0.119,3.934,0.08,7.315,0.123,-0.237,-0.17,18.147,1.987,0.003,0.02
121,115.9655,-24.0893,0.101,0.165,-2.409,0.111,2.422,0.171,-0.236,-0.16,18.487,1.399,0.003,0.024
122,115.9659,-24.0906,0.619,0.148,-4.635,0.096,2.933,0.144,-0.238,-0.16,18.454,1.873,0.003,0.03
123,115.9653,-24.0924,-6.138,0.796,-5.285,0.547,7.707,0.792,-0.24,-0.16,18.709,1.541,0.006,0.025
124,115.9596,-24.0837,1.132,0.112,-7.648,0.08,-10.3,0.117,-0.231,-0.166,18.044,1.988,0.003,0.021
125,115.9392,-24.0909,0.558,0.028,-5.777,0.02,2.03,0.034,-0.238,-0.184,14.985,0.914,0.004,0.012
126,115.9483,-24.0914,0.877,0.023,-4.449,0.016,2.991,0.023,-0.239,-0.176,15.145,0.85,0.003,0.005
127,115.9465,-24.0921,0.232,0.021,-1.514,0.015,0.477,0.021,-0.239,-0.178,14.826,0.541,0.003,0.007
128,115.9462,-24.0926,0.407,0.031,-2.678,0.024,4.445,0.033,-0.24,-0.178,15.308,1.015,0.003,0.017
129,115.9437,-24.0866,-0.009,0.459,-3.792,0.352,-2.543,0.481,-0.234,-0.18,14.435,0.955,0.004,0.005
130,115.9396,-24.0901,1.078,0.09,-6.811,0.068,3.716,0.093,-0.237,-0.184,17.63,1.664,0.003,0.019
131,115.939,-24.091,0.572,0.089,-5.819,0.049,2.035,0.23,-0.238,-0.184,16.527,0.916,0.003,0.052
132,115.9485,-24.0855,0.065,0.19,-1.213,0.131,2.116,0.197,-0.233,-0.176,18.965,1.588,0.003,0.029
