EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 522853792317527424,16.41177172852,62.30407610752,0.9701,0.076,-1.309,0.061,-6.862,0.071,17.289768,0.002865,2.332476,0.015840667031519
Gaia EDR3 522853822374714880,16.41014366774,62.32091353492,0.2561,0.1,-2.854,0.08,0.316,0.094,17.782434,0.0029,2.328449,0.023524436308109
Gaia EDR3 522853822374722688,16.41106824764,62.32458570629,0.4039,0.0599,-1.211,0.049,-0.505,0.057,16.930435,0.002819,1.857244,0.009648375089818
Gaia EDR3 522853826677250432,16.39964198177,62.32028722515,0.4405,0.0577,-4.169,0.043,0.381,0.054,16.74535,0.002811,2.083498,0.014316695382478
Gaia EDR3 522853826677256320,16.42134001404,62.31509994423,0.205,0.1823,-0.73,0.14,-1.201,0.17,18.75303,0.003225,2.409843,0.057927926359325
Gaia EDR3 522853856734463872,16.36643497314,62.32734886731,0.4248,0.1658,-1.878,0.126,1.123,0.163,18.54832,0.003142,2.326044,0.041777672031403
Gaia EDR3 522853861036991232,16.37503581299,62.31618397292,0.4405,0.0616,0.617,0.048,-0.161,0.056,16.931316,0.002819,1.975277,0.009404312510487
Gaia EDR3 522853895396716928,16.3790679956,62.33149844275,0.2587,0.0786,-3.11,0.063,0.361,0.077,17.417343,0.002856,1.928417,0.021475604448147
Gaia EDR3 522853895396720768,16.38157715994,62.32712332159,1.5587,0.0398,2.085,0.033,-0.259,0.037,16.166893,0.002791,1.959109,0.006816017620554
Gaia EDR3 522853925453931392,16.42393297844,62.32200596531,0.3635,0.138,1.575,0.107,2.422,0.131,18.349106,0.003042,2.044449,0.028871025683496
Gaia EDR3 522853925453941120,16.42283987294,62.32923666016,0.4056,0.1465,1.987,0.112,-1.793,0.137,18.44196,0.003106,2.301636,0.028200010668798
Gaia EDR3 522853925453943296,16.42232229709,62.3312921323,0.4871,0.1747,-1.348,0.135,-0.339,0.163,18.750406,0.003202,2.407763,0.045652698480779
Gaia EDR3 522853925453948544,16.41759281438,62.33559581287,0.5331,0.0777,-4.963,0.063,-0.43,0.074,17.246626,0.002855,2.218634,0.016391988792637
Gaia EDR3 522853929756455552,16.40986567474,62.33287404986,0.7648,0.06,-1.384,0.048,-5.708,0.056,16.943176,0.002817,2.104416,0.009308453519572
Gaia EDR3 522853959813694336,16.43776960268,62.34364103115,0.3923,0.1838,-2.616,0.141,0.151,0.186,18.680662,0.003162,2.074467,0.044672151540168
Gaia EDR3 522853964116187776,16.41505711914,62.34171467888,0.3067,0.0707,-3.364,0.058,-1.721,0.069,17.24695,0.002877,1.931999,0.014327928834164
Gaia EDR3 522853964116188160,16.43554762288,62.34212996405,0.215,0.0772,0.639,0.065,-0.992,0.084,17.245901,0.002839,1.968586,0.013459152495206
Gaia EDR3 522853994173428096,16.38512245731,62.33769767227,0.3861,0.1478,0.723,0.113,-1.369,0.138,18.450197,0.00316,2.561933,0.044811509143111
Gaia EDR3 522853994173434240,16.38942053558,62.34525795637,0.2952,0.1421,-3.932,0.106,0.409,0.135,18.365637,0.003104,2.187183,0.032171740396067
Gaia EDR3 522853994173572480,16.39238814025,62.34190116219,1.1159,0.1922,2.593,0.155,-3.498,0.189,18.765953,0.00335,2.639101,0.071955818973697
Gaia EDR3 522853994173572608,16.38283567104,62.34244173488,0.7081,0.1737,9.088,0.133,-4.932,0.17,18.76957,0.003226,2.505327,0.048010281201604
Gaia EDR3 522855162403004032,16.49283650601,62.32379903162,0.948,0.164,0.426,0.125,3.796,0.161,18.484013,0.003137,2.319714,0.041952391660131
Gaia EDR3 522855162403006080,16.49739700071,62.33033289126,0.6815,0.2148,-0.21,0.163,1.494,0.21,18.866198,0.003332,2.367844,0.046791845701073
Gaia EDR3 522855162403007360,16.47710404712,62.33461066282,2.092,0.1774,-6.458,0.137,-11.613,0.173,18.563229,0.00323,2.652063,0.041729661307552
Gaia EDR3 522855196762747776,16.492150052,62.34180823285,0.4371,0.2127,-0.681,0.169,-3.943,0.207,18.881,0.003302,2.224028,0.052093354710393
Gaia EDR3 522855235426507520,16.46540947687,62.34401623699,0.3069,0.0831,-2.002,0.07,-0.123,0.084,17.42218,0.002864,1.809519,0.017309725581565
Gaia EDR3 522855235426513920,16.46450017995,62.33491658279,0.6052,0.0372,-5.001,0.03,-0.434,0.036,15.920536,0.002782,1.648009,0.006074085894987
Gaia EDR3 522855437282447360,16.43250000709,62.34785598432,0.1839,0.1783,-0.926,0.147,-0.734,0.189,18.674807,0.003245,2.14683,0.040778211588656
Gaia EDR3 522874953612302464,16.79451617554,62.32611952543,0.2401,0.174,-1.857,0.139,-0.409,0.183,18.534883,0.003181,2.287954,0.060609335596933
Gaia EDR3 522874953612302720,16.80177538178,62.32606427405,0.9295,0.0151,0.757,0.013,-2.412,0.016,13.788386,0.002761,1.558909,0.004817380171797
Gaia EDR3 522874957917275264,16.79192436875,62.33189014954,4.2897,0.0635,-10.757,0.055,-4.837,0.071,13.833391,0.002863,1.969816,0.005652044893818
Gaia EDR3 522874987972045824,16.80685195321,62.34209051893,0.8436,0.0677,4.273,0.054,-3.144,0.065,17.078833,0.002832,2.202148,0.013853901270783
Gaia EDR3 522874987972046592,16.78592055963,62.34275097948,0.3005,0.1144,-1.097,0.088,-0.415,0.102,18.014515,0.002929,1.968723,0.028756017775255
Gaia EDR3 522874992279553152,16.81123517713,62.34100913722,0.4062,0.066,-2.268,0.053,1.031,0.063,17.09127,0.002824,1.836428,0.011826187167177
Gaia EDR3 522875060996409472,16.77221466317,62.34666155427,0.7975,0.0793,-5.718,0.062,0.371,0.076,17.350697,0.002859,2.503847,0.016286127892531
