EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2014631376005486464,0.066042,-0.118834,343.71828198054,60.69610188046,-0.0514,0.3326,-2.465,0.359,-1.539,0.319,19.952305,0.004932,2.52729,0.1652484963764741
Gaia EDR3 2014631410365262976,0.077119,-0.099588,343.74100645581,60.71532381474,0.5121,0.025,-1.78,0.026,-3.19,0.026,15.231583,0.002795,2.977861,0.006081474440114174
Gaia EDR3 2014631414663334528,0.072164,-0.108941,343.73083461598,60.70598149109,1.534,0.0652,-2.059,0.069,-13.688,0.062,17.447134,0.002881,2.047915,0.018149181018755817
Gaia EDR3 2014631444724990848,0.08777,-0.105074,343.7627518234,60.70981045326,0.2907,0.2352,-2.267,0.257,-1.091,0.216,19.41806,0.00382,2.608105,0.1043667909720162
Gaia EDR3 2014631449023244160,0.089216,-0.113498,343.76565994586,60.7013822018,0.3135,0.0395,-2.803,0.041,-1.533,0.039,16.471281,0.002818,2.442117,0.01274278802439434
Gaia EDR3 2014631479084740096,0.098742,-0.099278,343.78521402064,60.71557443686,2.8624,0.0481,30.572,0.048,6.068,0.047,16.78653,0.002846,2.346055,0.012208259800427045
Gaia EDR3 2014631479084752896,0.111405,-0.091703,343.81115564629,60.72310731323,0.1865,0.2675,-3.612,0.282,-1.357,0.266,19.646492,0.004125,2.527765,0.10460743727178914
Gaia EDR3 2014631479084756096,0.109825,-0.089963,343.80793736622,60.72485276082,0.0157,0.1546,-3.22,0.164,-2.443,0.153,18.881376,0.003378,2.591978,0.05717563081566733
Gaia EDR3 2014631479087785728,0.099644,-0.099353,343.78705798127,60.71549602251,0.4168,0.3529,-1.694,0.358,1.445,0.36,19.980286,0.005108,2.416283,0.20446076972081487
Gaia EDR3 2014631483382814336,0.109047,-0.097165,343.80629702294,60.71765360431,0.3063,0.0146,-2.699,0.015,-1.346,0.015,14.301341,0.002943,2.33794,0.00671885627379812
Gaia EDR3 2014631513444470016,0.086844,-0.10338,343.7608688089,60.71150653811,0.7768,0.1666,0.448,0.174,-1.114,0.16,18.906645,0.00342,2.632568,0.065178991671491
Gaia EDR3 2014631513444483456,0.082011,-0.095159,343.7510324398,60.71973980493,0.1422,0.1416,-2.71,0.152,-1.453,0.139,18.771849,0.003343,2.377688,0.05733280668505895
Gaia EDR3 2014631547804238720,0.097803,-0.085832,343.7833792914,60.729023057,0.5713,0.294,-2.158,0.294,-1.396,0.273,19.762262,0.004322,3.129824,0.11884736327748166
Gaia EDR3 2014631547804250240,0.102772,-0.080618,343.79357613802,60.73422123803,0.1326,0.1867,-2.747,0.201,-1.531,0.189,19.08117,0.003557,2.885578,0.0965108564964956
Gaia EDR3 2014631582163915904,0.052287,-0.11925,343.69017714816,60.69571179989,0.8161,0.308,-2.445,0.332,-1.787,0.293,19.813429,0.004534,2.330223,0.13683199472671712
Gaia EDR3 2014631620818088320,0.075878,-0.086504,343.73853414237,60.72841074868,0.2112,0.1802,-2.338,0.203,-1.984,0.181,19.02003,0.00367,2.320501,0.043984565628777395
Gaia EDR3 2014631620821762432,0.075781,-0.086747,343.73833412208,60.7281676271,0.0156,0.36,-2.272,0.479,-2.195,0.348,19.624891,0.004912,,
Gaia EDR3 2014631650883445120,0.059234,-0.090495,343.70447727462,60.72445403367,0.285,0.2683,-4.984,0.296,-3.897,0.272,19.66341,0.004331,2.464567,0.09726687435989179
Gaia EDR3 2014631655181498880,0.046268,-0.098335,343.67794031825,60.71663590271,0.8828,0.077,2.76,0.083,-3.694,0.083,17.706232,0.002954,2.478962,0.020308525664997898
Gaia EDR3 2014631655181499008,0.057474,-0.091582,343.7008748114,60.72337100297,0.8732,0.0543,-4.028,0.059,-6.183,0.054,17.085417,0.00287,2.462514,0.013529395136157495
Gaia EDR3 2014631655181499392,0.049746,-0.098699,343.68504980844,60.71626638675,0.4385,0.0792,-4.364,0.085,-2.97,0.082,17.536663,0.002963,3.235741,0.03758228790385292
Gaia EDR3 2014631655182646272,0.054389,-0.092857,343.69456185969,60.72210067029,1.9519,0.2596,-15.645,0.302,16.209,0.291,17.752354,0.003213,2.273373,0.012996679026242996
Gaia EDR3 2014631685243178880,0.062648,-0.09307,343.71144910268,60.72187262017,0.331,0.277,-2.945,0.297,-1.554,0.279,19.646917,0.004381,2.464998,0.10296574467064198
Gaia EDR3 2014631685243192832,0.075234,-0.085054,343.73722249131,60.72986185034,0.1645,0.207,-2.431,0.224,-2.39,0.209,19.310902,0.003816,2.352657,0.07000718632831876
Gaia EDR3 2014631685243192960,0.062598,-0.08497,343.71138050991,60.72997323997,1.4894,0.2344,-3.835,0.249,-8.041,0.235,19.12204,0.003982,2.869518,0.06634792879614093
Gaia EDR3 2014631685243211520,0.071,-0.076276,343.72860377233,60.73864935174,0.3772,0.1266,-2.711,0.139,-2.566,0.131,18.621881,0.003251,2.564659,0.07755766259538065
Gaia EDR3 2014631685243211648,0.070173,-0.077163,343.72690849738,60.73776403404,0.0228,0.1133,-1.571,0.124,-2.436,0.122,18.264025,0.003136,3.351988,0.07254824731913166
Gaia EDR3 2014631689541239040,0.066859,-0.092971,343.72006003868,60.72196323823,0.9904,0.0122,-2.827,0.013,-1.523,0.013,13.586303,0.002785,2.802968,0.004928740979331267
Gaia EDR3 2014631719602927616,0.083116,-0.087122,343.7533333928,60.72777426402,0.468,0.2385,-3.228,0.252,-3.504,0.23,19.52655,0.004004,2.639631,0.09500279674548115
Gaia EDR3 2014631719602937600,0.092264,-0.082117,343.77207190273,60.73275455604,0.7078,0.3017,0.392,0.315,-3.073,0.282,19.630756,0.004162,2.65378,0.12095457959697385
Gaia EDR3 2014631719605894400,0.092413,-0.080471,343.7723860027,60.73439948564,0.8743,0.167,-1.834,0.177,-0.775,0.171,18.956186,0.003733,2.853464,0.06900601444791846
Gaia EDR3 2014631753962680576,0.092873,-0.080619,343.77332658667,60.73425023543,0.9974,0.3119,-2.102,0.337,-1.117,0.324,19.775536,0.004851,,
Gaia EDR3 2014631753962690048,0.092088,-0.075076,343.77175290649,60.73979561354,0.286,0.1713,-8.763,0.18,-5.209,0.172,18.927986,0.003478,2.95566,0.06741380638205238
Gaia EDR3 2014631753962691840,0.099407,-0.073204,343.78673838533,60.74164598621,0.4043,0.3218,-3.207,0.346,-1.096,0.313,19.848232,0.004611,2.604384,0.11382799759106718
Gaia EDR3 2014631753962698496,0.100572,-0.07006,343.78914329942,60.74478591866,0.5851,0.0475,1.106,0.05,-0.214,0.047,16.819233,0.002836,2.437944,0.01142473080623014
Gaia EDR3 2014631788322430336,0.089459,-0.073058,343.76638555639,60.74182137404,0.5938,0.3098,-2.93,0.323,-2.481,0.299,19.81992,0.004625,2.838978,0.13093280402787663
Gaia EDR3 2014631788322432640,0.085636,-0.071369,343.75857324947,60.74352089775,0.598,0.156,-2.889,0.173,-3.124,0.16,18.800968,0.00336,2.664452,0.09147590882175514
Gaia EDR3 2014631788322449664,0.086764,-0.062929,343.76092833403,60.75195781339,-0.0739,0.2251,-2.358,0.254,-1.605,0.22,19.283985,0.003784,2.467098,0.06499179399949731
Gaia EDR3 2014631822682179200,0.090884,-0.067756,343.76933291855,60.74711901024,0.7288,0.3678,-2.931,0.41,-0.91,0.363,19.948175,0.00559,3.127497,0.17106353094137688
Gaia EDR3 2014631822682189696,0.090154,-0.061839,343.76787332263,60.75303874119,0.4054,0.1745,-3.458,0.202,-1.826,0.177,18.8948,0.003445,2.555841,0.05417599812341168
Gaia EDR3 2014631822682191872,0.10039,-0.060053,343.78883427979,60.75479360792,0.3929,0.1096,-1.75,0.12,-0.885,0.105,18.21128,0.003138,2.291571,0.03402286109524383
Gaia EDR3 2014631822682193792,0.099088,-0.058901,343.78617599702,60.75594999105,0.628,0.1161,-4.784,0.125,-2.504,0.114,18.389536,0.003156,2.793133,0.04641800037412772
Gaia EDR3 2014631822682194432,0.095927,-0.058774,343.77970689259,60.75608700487,0.3837,0.065,-1.283,0.069,1.481,0.066,16.950073,0.002884,3.158707,0.021750399182999168
Gaia EDR3 2014631822682200064,0.100229,-0.05581,343.78853187223,60.7590369809,0.2413,0.2482,-1.547,0.272,-1.93,0.243,19.077478,0.004283,3.26539,0.10163052109359806
Gaia EDR3 2014631822682203392,0.102425,-0.054456,343.79303734406,60.76038439832,2.0932,0.0914,15.164,0.099,-13.125,0.092,17.955412,0.003089,2.564726,0.027281536963856233
Gaia EDR3 2014631822682208512,0.100977,-0.050796,343.79009535131,60.76404896361,0.0451,0.2496,-3.948,0.281,-0.211,0.262,19.560703,0.004205,2.662376,0.1185740635994188
Gaia EDR3 2014631857041799808,0.001983,-0.132535,343.58739705793,60.68246916372,0.8892,0.3519,-1.826,0.383,-2.718,0.338,19.923357,0.004896,2.305704,0.12791825202663457
Gaia EDR3 2014631857041803776,-0.003668,-0.130208,343.57585615751,60.68479614027,2.3907,0.2044,-13.403,0.213,-23.951,0.194,19.218569,0.003696,2.578409,0.0912958236620387
Gaia EDR3 2014631857041814784,-0.002296,-0.123409,343.57865728357,60.69159452149,0.5349,0.3598,1.405,0.38,-1.509,0.361,19.891493,0.004742,2.218731,0.117743977233809
Gaia EDR3 2014631861340964224,-0.00809,-0.132546,343.56682509129,60.68245725079,2.9085,0.3023,-30.347,0.318,-3.207,0.313,13.347233,0.00292,1.010725,0.004790315711870399
Gaia EDR3 2014631891401554688,0.009009,-0.122334,343.60175340787,60.6926683181,0.6111,0.2236,-2.695,0.232,-0.716,0.209,19.32759,0.00381,2.486193,0.07585388396070668
Gaia EDR3 2014631891401556352,0.014668,-0.121461,343.61331378088,60.69353948102,3.5537,0.9649,0.446,1.037,-0.136,0.95,18.924553,0.015035,2.500778,0.05097866459429417
Gaia EDR3 2014631891401558272,0.009314,-0.120153,343.60237776625,60.6948492481,0.3435,0.3319,-8.253,0.371,-5.561,0.328,19.851982,0.004759,2.448998,0.1257460269071996
Gaia EDR3 2014631891401564672,0.010832,-0.117431,343.60548089049,60.69757131603,0.0003,0.2673,-3.013,0.298,-2.492,0.265,19.60501,0.004184,2.403875,0.07511271211528263
Gaia EDR3 2014631891401571840,0.011719,-0.112828,343.60729634627,60.7021734613,-0.1466,0.1927,-2.511,0.207,-1.552,0.188,19.177563,0.00365,2.651772,0.08791946225549664
Gaia EDR3 2014631895699320320,0.001105,-0.119623,343.58560572777,60.69538115273,1.0173,0.0345,-0.896,0.036,-5.559,0.034,16.04618,0.002799,2.434925,0.007942578752258598
Gaia EDR3 2014631895699321728,0.014345,-0.114863,343.61266142547,60.7001376015,0.4544,0.0292,-7.573,0.031,-2.683,0.03,15.641625,0.00279,2.969948,0.00777916292910162
Gaia EDR3 2014631925761288064,-0.009148,-0.12521,343.56465990624,60.68979249652,0.078,0.198,-1.564,0.209,-1.305,0.194,19.094427,0.003711,3.202631,0.10883689021465405
Gaia EDR3 2014631925761288192,-0.009294,-0.126378,343.56436378736,60.68862452993,0.7143,0.1791,3.331,0.195,3.252,0.179,19.034065,0.003389,2.418451,0.08071282287301527
Gaia EDR3 2014631925761308160,-0.006332,-0.114708,343.57040804154,60.70029519667,0.3662,0.1188,-3.034,0.13,-1.611,0.12,18.428694,0.00314,2.578535,0.05828133241923693
Gaia EDR3 2014631925761310464,-0.004878,-0.119939,343.57338204574,60.69506428331,0.8452,0.1381,-23.154,0.146,-6.556,0.137,18.102459,0.003449,2.763886,0.04655728395521072
Gaia EDR3 2014631925763505536,-0.01478,-0.118928,343.55315049308,60.6960724617,0.6206,0.1673,-1.176,0.194,0.222,0.178,18.898676,0.003427,2.959875,0.11676399162595802
