#
# NAME:    Cluster's name.
# c_x[px]: Cluster's x center coordinate in pixels.
# c_y[px]: Cluster's y center coordinate in pixels.
# rad[px]: Cluster's radius in pixels.
# 
# 1 == True / 0 == False
# M3 (flag_center_manual): Take center value.
# M4 (flag_radius_manual): Take radius value.
# M5 (flag_errors_manual): Use all stars with errors < e_max.
#
# NAME         c_x[px]      c_y[px]      rad[px]   M3 M4 M5
HS114          5880.0       2685.0       212.5      1  0  0
NGC1795        3770.0       7850.0       187.5      0  0  0
NGC1917        3805.0       4740.0       100.0      1  1  0
H88-334        3595.0       8215.0       87.5       1  0  0
SL13           3525.0       4410.0       212.5      1  0  0
KMHK1023       2660.0       2845.0       187.5      1  0  0
SL132          6100.0       4360.0       137.5      1  0  0
NGC1751        3750.0       1360.0       212.5      1  0  0
###########    ^ Ref 33
C11            1525.0       520.0        112.5      1  0  0
BSDL594        185.0        1385.0       112.5      1  0  0
SL54           410.0        2410.0       162.5      1  0  0
HS156          1280.0       285.0        137.5      1  0  0
HS130          280.0        1945.0       87.5       1  0  0
HS178          1050.0       1090.0       162.5      1  0  0
LW69           190.0        1880.0       137.5      1  0  0
KMHK151        1235.0       1915.0       112.5      1  0  0
BSDL761        720.0        2725.0       87.5       1  0  0
SL41           265.0        3215.0       187.5      1  0  0
LW211          950.0        1220.0       137.5      1  0  0
SL870          870.0        965.0        187.5      1  0  0
KMHK123        1655.0       595.0        112.5      1  0  0
BSDL654        1062.0       3302.0       112.5      1  0  0
BSDL675        685.0        190.0        87.5       1  0  0
BSDL779        925.0        880.0        112.5      1  0  0
BSDL665        1480.0       3870.0       60.0       1  1  0
SL72           1200.0       1060.0       112.5      1  0  0
BSDL3158       1640.0       2050.0       187.5      1  0  0
KMHK128        230.0        825.0        137.5      1  0  0
SL73           750.0        885.0        137.5      1  0  0
SL33           555.0        2150.0       112.5      1  0  0
KMHK1702       172.0        425.0        112.5      1  0  0
###########    ^ Ref 34
is1_p019_0650  1000         1000         0.         1  0  0
is1_p019_0700  1000         1000         0.         1  0  0
is1_p019_0750  1000         1000         0.         1  0  0
is1_p019_0800  1000         1000         0.         1  0  0
is1_p019_0850  1000         1000         0.         1  0  0
is1_p019_0900  1000         1000         0.         1  0  0
is1_p019_0950  1000         1000         0.         1  0  0
###########    ^ MASSCLEAN
NGC6192        1094.        820.         400.       1  1  0
NGC6242        1379.        1651.        500.       1  1  0
###########    ^ Lucia
