DR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
6871,6.5791,61.458,0.1803,0.1083,2.055,-2.047,0.093,0.179,0.109,18.032915,0.002998,1.325237,0.0187
6872,6.5737,61.4647,0.2846,0.106,2.328,-2.023,0.089,-1.151,0.107,18.067514,0.002962,1.600296,0.0173
6873,6.5748,61.4561,0.1239,0.128,1.417,-1.285,0.107,0.596,0.13,18.378492,0.003271,1.64472,0.0369
6874,6.5614,61.4692,0.1569,0.0982,2.002,-1.968,0.085,-0.363,0.108,17.894276,0.003012,1.734667,0.0292
6875,6.5639,61.4575,0.332,0.0416,3.561,-3.559,0.035,0.107,0.042,16.38089,0.0028,1.056569,0.006
6876,6.5762,61.4558,0.4664,0.0388,0.217,0.127,0.034,-0.176,0.04,16.167885,0.002788,1.051735,0.0062
6877,6.5799,61.4507,0.1769,0.0704,2.901,-2.766,0.06,-0.874,0.071,17.262896,0.002847,1.170403,0.0095
6878,6.6697,61.4334,0.1607,0.1003,3.105,-2.034,0.094,-2.346,0.108,18.026497,0.002978,1.411171,0.0175
6879,6.6597,61.4476,0.2958,0.0826,2.575,-2.548,0.071,-0.367,0.083,17.644814,0.002899,1.284327,0.012
6880,6.6822,61.4362,0.7905,0.1311,9.408,9.374,0.116,0.796,0.131,18.487938,0.003095,1.766102,0.0232
6881,6.6784,61.43,0.2239,0.0193,3.371,-3.335,0.018,-0.495,0.019,14.781137,0.002765,1.14137,0.0049
6882,6.6868,61.4266,0.3113,0.1005,5.208,-3.961,0.09,-3.381,0.103,18.095833,0.002977,1.312334,0.0283
6883,6.6749,61.4527,0.4956,0.0671,2.254,-1.836,0.06,-1.307,0.066,17.37558,0.002858,1.269358,0.0095
6884,6.6599,61.457,0.3658,0.0406,4.751,1.37,0.035,-4.549,0.04,16.337118,0.002795,1.276225,0.0068
6885,6.6623,61.4565,0.8134,0.0147,2.073,-1.296,0.013,-1.618,0.015,14.130295,0.00276,1.18061,0.0048
6886,6.6582,61.4533,0.5885,0.0211,2.889,-2.255,0.019,-1.805,0.021,14.912766,0.002764,1.129129,0.0049
6887,6.666,61.4537,0.1578,0.0627,2.822,-2.674,0.057,-0.903,0.061,17.129042,0.002829,1.138849,0.008
6888,6.6599,61.4513,0.747,0.0612,3.928,-1.504,0.05,-3.629,0.06,17.02195,0.002856,1.461149,0.0089
6889,6.6721,61.4505,0.4609,0.1234,1.055,-1.044,0.115,-0.154,0.128,18.450727,0.003092,1.511931,0.0245
6890,6.6687,61.4477,0.3189,0.0314,2.106,-1.909,0.028,-0.888,0.031,15.893726,0.002777,0.918011,0.0059
6891,6.6675,61.4468,0.3038,0.0587,1.925,-1.629,0.053,-1.026,0.057,17.116,0.002836,1.212078,0.0111
6892,6.6394,61.4513,0.3062,0.0619,1.24,-0.319,0.054,-1.198,0.063,17.117731,0.002827,1.258753,0.0076
6893,6.6358,61.453,0.3314,0.0447,2.926,-2.738,0.039,-1.032,0.046,16.653313,0.002796,1.033386,0.0073
6894,6.6448,61.4414,0.4041,0.0228,4.15,-3.72,0.022,-1.839,0.025,15.227927,0.002766,1.08987,0.0052
6895,6.6571,61.4501,0.4361,0.1294,3.716,-3.603,0.109,-0.909,0.133,18.217667,0.003562,1.425167,0.0263
6896,6.6373,61.4665,0.2358,0.1133,4.094,-4.066,0.1,0.484,0.121,18.30525,0.003068,1.538937,0.0249
6897,6.6463,61.4646,0.2702,0.0384,2.964,-2.781,0.034,-1.025,0.04,16.325441,0.002794,0.908005,0.0067
6898,6.6387,61.4631,0.465,0.0685,2.758,-2.639,0.061,0.804,0.071,17.395945,0.002868,1.285885,0.0116
6899,6.6502,61.4607,0.1224,0.0828,0.728,-0.224,0.073,-0.693,0.085,17.671595,0.002888,1.28186,0.0153
6900,6.6882,61.4518,0.2184,0.0679,1.257,-0.961,0.061,-0.81,0.072,17.26378,0.002883,1.539848,0.0124
6901,6.6603,61.4614,0.3557,0.1009,3.987,-3.92,0.088,-0.73,0.099,18.008223,0.003019,1.44651,0.0168
6902,6.6687,61.4682,0.3769,0.1092,3.338,-3.163,0.097,-1.069,0.114,18.253313,0.003116,1.683697,0.0235
6903,6.6647,61.462,0.3858,0.0522,3.78,-3.656,0.046,-0.963,0.053,16.905048,0.002817,1.178949,0.008
6904,6.6897,61.4629,0.9657,0.0891,8.976,-8.551,0.078,-2.728,0.087,17.798752,0.002925,1.92078,0.017
6905,6.6924,61.4619,0.2389,0.0673,2.165,-2.162,0.059,-0.125,0.066,17.363121,0.002843,1.30183,0.0119
6906,6.6833,61.4572,0.3952,0.1242,0.396,-0.365,0.108,0.153,0.135,18.353949,0.003127,1.632399,0.0227
6907,6.6888,61.4535,0.3251,0.018,2.848,-2.689,0.016,-0.938,0.02,14.601143,0.002786,0.573709,0.0051
6908,6.6675,61.4801,0.3232,0.0991,1.761,-1.677,0.088,-0.539,0.107,17.99099,0.002998,1.64884,0.0178
6909,6.6793,61.4775,0.3342,0.0162,1.585,-0.513,0.015,-1.5,0.016,12.948908,0.002765,2.263215,0.0048
6910,6.6875,61.4694,0.35,0.0182,4.143,-3.227,0.017,-2.599,0.018,14.692009,0.002764,1.806361,0.0049
6911,6.6945,61.4683,0.4497,0.0221,2.89,-2.638,0.02,-1.18,0.023,15.238475,0.002767,1.101913,0.0051
6912,6.6681,61.4813,0.6566,0.0364,5.413,-5.407,0.033,0.255,0.041,16.108843,0.002785,1.306169,0.0061
6913,6.6541,61.4648,1.7602,0.0995,7.419,-3.064,0.084,-6.757,0.097,17.969383,0.00298,2.285,0.028
6914,6.6513,61.475,0.551,0.1131,1.175,-0.447,0.1,-1.086,0.114,18.260078,0.002979,1.35668,0.0202
6915,6.6303,61.4747,0.1907,0.0826,3.079,1.189,0.071,-2.841,0.085,17.677412,0.002895,1.382017,0.0127
6916,6.6299,61.4804,0.3522,0.1269,1.595,0.187,0.111,-1.584,0.139,18.45802,0.00309,1.424637,0.0202
6917,6.6386,61.4778,0.0828,0.1258,1.978,-1.209,0.112,-1.565,0.135,18.332949,0.003025,1.333853,0.0178
6918,6.6421,61.4777,nan,nan,nan,nan,nan,nan,nan,17.249712,0.017602,1.706022,0.0078
6919,6.5938,61.4688,0.4182,0.0672,5.346,-3.356,0.058,-4.162,0.07,17.296892,0.002842,1.208372,0.0149
6920,6.5954,61.4679,0.6018,0.2186,2.502,-2.236,0.19,-1.124,0.233,18.405642,0.003325,1.71299,0.0259
6921,6.6135,61.4548,0.2688,0.0431,2.558,-1.117,0.036,-2.301,0.046,16.464834,0.002793,1.449787,0.0088
6922,6.6207,61.4541,0.6706,0.0234,5.45,-4.35,0.021,-3.283,0.024,15.315258,0.002767,1.141371,0.0051
6923,6.6039,61.4737,0.2769,0.0803,1.624,-0.892,0.069,1.358,0.08,17.57546,0.002898,1.421576,0.0123
6924,6.5958,61.4783,0.7794,0.0375,5.267,5.201,0.033,-0.835,0.038,16.159214,0.002783,1.288044,0.0064
6925,6.6087,61.4757,0.8399,0.0171,2.591,2.587,0.016,-0.132,0.018,14.556655,0.002762,1.014455,0.0049
6926,6.6103,61.4725,0.3549,0.0402,2.309,-1.88,0.035,-1.341,0.041,16.288092,0.002792,1.088101,0.0061
6927,6.6158,61.4724,0.177,0.0786,1.225,-0.993,0.068,-0.717,0.081,17.566494,0.002888,1.770231,0.0153
6928,6.6198,61.4686,4.0907,0.0575,37.324,27.559,0.049,-25.171,0.059,16.985798,0.00284,2.436021,0.0134
6929,6.6205,61.4667,0.3937,0.0534,1.8,-0.839,0.048,-1.592,0.056,16.887644,0.002835,1.231911,0.0115
6930,6.5995,61.4714,0.5978,0.2202,1.248,-0.936,0.203,0.826,0.232,18.254793,0.003986,1.692301,0.0269
6931,6.5739,61.4718,0.5717,0.01,2.576,0.452,0.009,2.536,0.01,12.065768,0.002759,1.705969,0.0047
6932,6.587,61.4623,0.4171,0.1106,3.241,-2.881,0.096,-1.484,0.111,18.150656,0.003035,1.469389,0.0222
6933,6.5832,61.4668,0.4633,0.1068,0.671,0.213,0.089,0.637,0.107,18.06799,0.002973,1.37693,0.0169
6934,6.5781,61.4692,0.3351,0.0667,1.893,-1.456,0.057,-1.211,0.067,17.255863,0.002839,1.199215,0.0118
6935,6.5754,61.4719,0.7609,0.0827,4.235,-1.397,0.066,-3.998,0.082,16.999922,0.003151,1.400663,0.1154
6936,6.5842,61.4752,0.4365,0.1318,2.769,-0.107,0.118,-2.767,0.139,18.448416,0.003082,1.51284,0.0341
6937,6.5721,61.4838,0.3965,0.1048,1.349,-1.161,0.085,0.688,0.103,18.002207,0.003001,1.460653,0.0239
6938,6.5706,61.4895,0.3889,0.018,4.012,-3.953,0.016,-0.685,0.019,14.406193,0.002763,1.623966,0.0048
6939,6.5652,61.4831,0.2087,0.0285,0.733,0.422,0.025,0.599,0.029,15.609191,0.002778,2.116159,0.0061
6940,6.5724,61.4801,0.2637,0.0382,1.545,-1.14,0.032,-1.043,0.039,16.179342,0.002789,0.9094,0.0065
6941,6.6265,61.4765,0.0367,0.1258,1.879,-0.82,0.109,-1.691,0.135,18.434069,0.003035,1.435856,0.0302
6942,6.6153,61.4768,0.2667,0.0349,2.605,-2.478,0.03,0.804,0.036,16.051903,0.002783,1.736737,0.0063
6943,6.6098,61.4875,0.17,0.0962,4.978,-3.55,0.086,-3.49,0.101,17.930857,0.002916,1.293152,0.0167
6944,6.5933,61.4878,0.4898,0.1152,5.571,5.526,0.101,0.706,0.118,18.214943,0.002989,1.507662,0.0184
6945,6.6101,61.4868,0.4437,0.1323,3.454,-2.487,0.12,-2.397,0.144,18.48328,0.003142,1.372427,0.0399
6946,6.603,61.4882,0.4264,0.0212,3.103,-2.874,0.02,1.17,0.023,15.038135,0.002765,1.120115,0.005
6947,6.5979,61.4846,0.1449,0.0771,1.484,-1.466,0.07,-0.23,0.082,17.594675,0.002894,1.475882,0.0114
6948,6.6118,61.4843,0.5082,0.0379,1.884,-0.949,0.035,-1.628,0.04,15.626211,0.002769,1.177116,0.0056
6949,6.6197,61.4774,0.4766,0.0744,3.291,-2.482,0.065,2.162,0.076,17.303757,0.002875,1.293539,0.0095
6950,6.5982,61.5071,0.172,0.0943,0.753,-0.192,0.082,-0.728,0.09,17.684797,0.002914,2.004139,0.0185
6951,6.6151,61.4943,0.2931,0.0436,0.997,-0.961,0.039,-0.267,0.045,16.405025,0.002794,1.113675,0.0067
6952,6.564,61.5038,0.1782,0.1074,4.317,-1.959,0.096,-3.847,0.112,17.911993,0.002973,1.599106,0.0187
6953,6.5808,61.4966,0.6331,0.0451,4.222,1.336,0.038,-4.005,0.046,16.202854,0.00279,1.243517,0.007
6954,6.5805,61.5052,1.8835,0.0718,4.276,0.178,0.065,-4.273,0.069,17.208399,0.002867,2.230433,0.0115
6955,6.564,61.5195,0.4135,0.0489,3.118,0.298,0.044,-3.103,0.048,16.465,0.002796,1.205063,0.0069
6956,6.4914,61.4435,-0.1318,0.3092,2.534,-2.511,0.272,-0.34,0.304,16.983599,0.004401,1.358698,0.0082
6957,6.5355,61.4315,0.1316,0.0885,1.612,-1.61,0.072,0.085,0.093,17.794607,0.002915,1.195179,0.013
6958,6.5293,61.432,0.4422,0.0783,1.894,1.888,0.065,0.152,0.079,17.589819,0.002881,1.223299,0.0152
6959,6.5248,61.4335,0.1612,0.0833,1.582,-1.359,0.07,-0.81,0.083,17.688221,0.002888,1.425795,0.0129
6960,6.5393,61.435,0.6443,0.1256,5.887,-5.862,0.102,-0.544,0.131,18.362204,0.003054,1.626074,0.0253
