Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Gmag,BP-RP,e_Gmag,e_BP-RP
2648,117.1430,-59.3944,2.6587,0.1394,-3.3991,0.1684,11.0775,0.1767,,,18.6363,2.9564,0.0034,0.0595
2649,119.0648,-60.7889,2.7948,0.1287,-3.4730,0.1857,11.0182,0.1509,,,16.4451,2.1140,0.0035,0.0116
2650,116.3450,-61.8706,2.6072,0.1573,-3.9447,0.2062,12.1270,0.2104,,,18.8254,2.8596,0.0033,0.0822
2651,121.2228,-62.6082,2.1262,0.1875,-4.3363,0.2827,11.2903,0.1926,,,18.7660,3.0350,0.0034,0.0756
2652,120.5821,-60.2794,2.5245,0.1553,-5.2099,0.2042,9.0770,0.2127,,,18.7603,2.6369,0.0033,0.0769
2653,118.4184,-60.2135,2.1312,0.1865,-4.2350,0.2160,10.1556,0.2616,,,18.7599,2.9203,0.0036,0.1118
2654,120.0824,-58.0208,2.4970,0.0561,-3.8110,0.0749,11.4773,0.0683,,,16.6727,2.2501,0.0035,0.0194
2655,116.5486,-62.2897,2.6194,0.0666,-3.6824,0.0928,12.5534,0.0844,,,17.5694,2.5960,0.0029,0.0235
2656,116.4772,-61.8228,2.5780,0.2330,-3.6188,0.2734,11.8357,0.2693,,,18.9278,3.1346,0.0035,0.0662
2657,115.6698,-61.4622,2.0892,0.0944,-4.0359,0.1457,11.7412,0.1157,,,17.9641,2.8420,0.0031,0.0397
2658,120.1509,-62.3408,2.1569,0.1763,-5.9015,0.1987,11.7949,0.2030,,,18.9930,2.9284,0.0037,0.0835
2659,122.5404,-59.7860,2.6989,0.1701,-5.3691,0.2513,11.6817,0.2258,,,18.7469,3.0618,0.0034,0.0872
2660,117.4026,-63.1141,2.4551,0.1112,-5.4610,0.1447,10.0727,0.1246,,,18.4148,2.6848,0.0031,0.0598
2661,120.1358,-62.8631,2.7029,0.1954,-5.2545,0.2837,11.7443,0.2316,,,18.8519,3.0777,0.0034,0.0760
2662,119.4918,-60.7623,1.9906,0.1240,-5.0525,0.1675,11.3780,0.1403,17.0786,4.8030,14.7531,1.5376,0.0030,0.0056
2663,123.1600,-59.1069,2.2877,0.1479,-4.6056,0.2041,10.9205,0.1911,,,18.6928,2.8621,0.0034,0.0598
2664,122.8250,-61.0972,2.4537,0.1813,-6.8114,0.2525,10.8143,0.2721,,,18.9679,2.9378,0.0035,0.0733
2665,121.8844,-58.6112,2.5401,0.1419,-5.6036,0.1755,10.6492,0.1751,,,18.7347,2.5819,0.0033,0.0907
2666,118.0459,-59.8682,2.7886,0.1854,-3.9017,0.2690,10.7116,0.2277,,,18.9657,3.0461,0.0038,0.0920
2667,116.1625,-62.5419,2.3405,0.1513,-5.5310,0.2076,10.2716,0.2206,,,18.6664,2.5381,0.0032,0.1085
2668,119.9503,-60.5412,2.1486,0.1895,-4.4554,0.2686,9.7933,0.2500,7.3653,4.4530,14.0226,1.4073,0.0029,0.0050
2669,120.6155,-62.6078,2.1901,0.2361,-4.4684,0.3013,10.8700,0.3426,,,17.3394,2.5577,0.0040,0.0231
2670,119.1955,-62.4669,2.7702,0.1590,-4.9027,0.2194,11.8440,0.2024,,,18.9694,2.8109,0.0035,0.0745
2671,120.2178,-58.2248,2.4017,0.1333,-4.5433,0.1690,10.2631,0.2039,,,18.5483,2.9002,0.0035,0.0816
2672,117.6946,-58.5844,2.2178,0.0624,-3.7350,0.0734,10.3656,0.0713,,,17.2642,2.2713,0.0030,0.0241
2673,123.4329,-62.3711,2.1618,0.0374,-3.6473,0.0501,11.8998,0.0468,,,16.3204,1.9003,0.0028,0.0081
2674,121.3781,-59.0404,2.1489,0.1711,-5.2536,0.2429,11.2283,0.2219,,,18.9907,3.1536,0.0036,0.1009
2675,119.8334,-60.1693,2.3891,0.1677,-4.7196,0.2021,8.9131,0.1916,,,18.9903,2.6402,0.0033,0.0869
2676,121.7633,-62.6775,2.1131,0.1220,-5.2621,0.1562,11.1818,0.1307,,,18.4278,2.9215,0.0032,0.0628
2677,118.0924,-59.3150,2.0987,0.1798,-3.4523,0.2165,10.7184,0.2025,10.5104,13.5294,15.3245,1.8677,0.0035,0.0067
2678,119.8778,-60.6212,2.2643,0.1720,-2.1251,0.2543,10.5327,0.2176,,,18.8158,2.7498,0.0034,0.0732
2679,119.0504,-61.3500,2.7011,0.1087,-4.9247,0.1287,13.2562,0.1536,,,17.9520,2.9030,0.0030,0.0337
2680,121.0333,-61.9194,2.0297,0.1979,-4.9321,0.2260,11.3320,0.2455,,,18.9516,2.8889,0.0035,0.0651
2681,120.3988,-60.4513,1.9834,0.1459,-4.9801,0.2226,10.9157,0.2211,,,18.7344,2.7930,0.0036,0.0796
2682,119.5898,-60.1005,2.1638,0.1926,-3.4902,0.2235,13.0256,0.2167,,,17.8473,2.6479,0.0040,0.0340
2683,121.3921,-62.1523,2.6278,0.1097,-2.8026,0.1371,12.0083,0.1400,,,18.4408,2.6020,0.0031,0.0444
2684,117.9118,-59.6716,2.0639,0.1971,-4.5722,0.2490,11.1153,0.2535,,,18.9880,2.8298,0.0041,0.1094
2685,118.9687,-63.2898,2.3383,0.1803,-3.3249,0.2125,11.6277,0.2239,,,18.8746,2.8607,0.0035,0.0720
2686,119.1538,-61.1152,2.9093,0.1569,-4.7684,0.1915,11.1803,0.2136,,,16.5431,2.2463,0.0035,0.0112
2687,119.4219,-60.8756,2.8110,0.2963,-4.8894,0.3815,11.6837,0.3126,,,18.5603,3.0375,0.0052,0.0660
2688,118.8366,-59.6072,2.0286,0.1192,-3.2770,0.1515,11.4705,0.1547,,,18.2480,2.9418,0.0034,0.0758
2689,119.5877,-61.7980,2.7811,0.1140,-5.9190,0.1534,12.3046,0.1390,27.5193,6.8749,14.2911,1.3379,0.0031,0.0068
2690,118.5049,-60.8246,2.0640,0.1331,-4.4241,0.1992,9.7015,0.1981,,,18.6394,2.6502,0.0032,0.0611
2691,122.6427,-59.5609,2.1843,0.0942,-3.8750,0.1036,10.2916,0.1127,,,16.4161,1.8326,0.0031,0.0075
