Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Gmag,BP-RP,e_Gmag,e_BP-RP
636,120.483,-60.2081,2.4589,0.0288,-5.1096,0.0355,10.863,0.0419,,,15.9374,1.7941,0.003,0.0082
637,120.3508,-60.1756,2.4545,0.1193,-4.2369,0.1418,10.8576,0.1769,,,18.3849,3.0813,0.0032,0.0647
639,118.748,-61.073,2.4852,0.0481,-4.4001,0.0612,12.4508,0.0638,,,17.0647,2.4189,0.0029,0.0147
640,118.7535,-61.0626,2.183,0.044,-4.9717,0.0549,11.0112,0.0547,42.6015,6.558,15.0028,1.4753,0.0031,0.0079
641,118.5522,-59.2006,2.4819,0.0112,-4.4562,0.0136,11.4231,0.0139,25.0737,3.4622,12.6993,1.1017,0.0028,0.0048
642,119.3158,-58.719,2.4191,0.0087,-4.4805,0.0113,10.9059,0.0119,23.6211,2.0151,12.1855,0.8089,0.0028,0.0048
643,120.3864,-60.2265,2.4751,0.0701,-5.6021,0.1372,11.2743,0.1046,,,16.853,2.2105,0.0031,0.0381
644,120.3862,-60.2261,2.3951,0.0796,-4.8437,0.1129,11.7301,0.1171,,,16.7601,2.4491,0.0033,0.0541
645,119.599,-61.0623,2.4326,0.0128,-5.6455,0.017,11.7601,0.0153,21.1925,2.5963,12.9684,0.9313,0.0028,0.0051
646,119.687,-61.0432,2.561,0.0411,-5.3823,0.0536,10.9898,0.0457,,,16.5911,2.3178,0.0028,0.0104
647,120.8576,-60.153,2.3956,0.0144,-5.2032,0.0178,10.7604,0.018,22.7702,2.2128,9.3536,0.1452,0.0028,0.0047
648,121.2498,-60.1093,2.3678,0.0098,-4.2341,0.0121,10.7805,0.0111,22.7996,2.2667,11.7114,0.7343,0.0028,0.0047
649,121.5084,-60.483,2.4226,0.1,-5.3385,0.1337,10.9912,0.1126,,,17.2655,2.6689,0.0031,0.015
650,116.4882,-61.0873,2.4152,0.0262,-4.2656,0.0308,11.2826,0.0327,,,15.7297,2.0486,0.003,0.0082
653,120.6803,-60.0711,2.5092,0.1214,-4.7745,0.1472,11.1041,0.1488,,,18.4234,3.0285,0.0032,0.0749
654,120.6903,-60.085,2.5468,0.1224,-4.8723,0.1454,11.1231,0.1503,,,18.4056,2.7743,0.0032,0.0701
656,121.4293,-60.1335,2.5629,0.1095,-4.896,0.1476,10.6507,0.1323,,,18.4453,2.7464,0.0032,0.0563
657,121.3141,-60.6569,2.4367,0.0109,-4.9102,0.0153,11.0206,0.0117,20.1876,3.7234,13.5024,0.9966,0.0028,0.0052
658,119.7197,-61.0339,2.4273,0.0668,-5.3863,0.0848,11.456,0.0727,,,17.413,2.3984,0.0029,0.0179
659,121.0818,-60.0342,2.5532,0.0814,-5.0445,0.1031,11.5537,0.1033,,,17.9813,3.0863,0.003,0.0489
660,121.5037,-60.4987,2.3848,0.0219,-4.5858,0.0284,11.1264,0.0246,,,15.3593,1.5544,0.003,0.007
661,121.5967,-60.0432,2.4055,0.0103,-5.4302,0.0126,9.7217,0.0122,19.2633,1.8364,12.2814,0.8443,0.0028,0.0048
662,121.1844,-60.6135,2.4289,0.0603,-5.0834,0.0783,11.2149,0.0679,,,17.2111,2.291,0.0029,0.02
663,119.6589,-61.0135,2.6155,0.0163,-4.6271,0.0194,10.8973,0.0186,17.6737,1.9467,9.4387,0.2375,0.0028,0.0047
664,121.6044,-60.0032,2.5142,0.1118,-4.508,0.1521,10.5218,0.1488,,,18.4768,2.8078,0.0032,0.0535
665,119.1197,-60.9429,2.4773,0.09,-4.5395,0.1065,11.001,0.114,,,17.7938,2.9032,0.003,0.0371
666,121.3899,-60.5454,2.0092,0.0093,-5.769,0.0127,10.7314,0.0101,10.04,1.069,12.051,0.6779,0.0028,0.0047
667,117.1414,-62.8623,2.6358,0.0101,-3.6799,0.0135,11.6558,0.0122,24.3554,1.4348,12.1585,0.7882,0.0028,0.0049
668,121.3685,-60.525,2.412,0.095,-4.8476,0.1335,10.9641,0.1049,,,18.0225,2.8104,0.0031,0.0426
669,118.8501,-61.0292,2.4177,0.0234,-3.8995,0.029,11.5311,0.0302,,,15.6068,1.6582,0.0032,0.0096
670,120.4301,-60.2571,2.3729,0.0791,-5.1579,0.0977,10.8988,0.1258,,,17.7443,2.6562,0.0031,0.0346
672,120.0272,-60.1209,2.2455,0.1111,-4.3892,0.1306,10.8171,0.1332,,,18.3182,2.7756,0.0032,0.0481
673,120.4019,-60.3519,2.436,0.0115,-5.0572,0.0136,11.1411,0.0148,24.1071,0.6649,10.7769,0.4052,0.0028,0.0047
674,119.6532,-61.0652,2.4954,0.0657,-4.9437,0.0826,10.7616,0.0722,,,17.4986,2.5846,0.0029,0.0279
676,118.232,-59.3348,2.3126,0.0371,-5.7204,0.0448,11.226,0.0476,,,15.7941,1.8241,0.0041,0.014
677,118.7528,-60.9979,2.387,0.1591,-4.5977,0.205,11.3125,0.2147,,,18.9692,3.006,0.0035,0.0743
678,119.6302,-61.076,2.2758,0.0953,-4.2501,0.1204,11.4795,0.1113,,,17.8018,2.9134,0.0031,0.0413
682,120.4615,-60.3742,2.4248,0.0595,-4.6631,0.0758,10.651,0.0871,,,17.3214,2.4689,0.003,0.0166
683,120.0638,-60.1649,2.4294,0.0432,-4.9784,0.0536,10.8347,0.0553,,,16.7838,2.1268,0.003,0.0136
684,120.0267,-60.1715,2.5038,0.0608,-5.1196,0.0752,11.3138,0.0774,,,17.3813,2.3524,0.0029,0.0204
685,119.449,-61.0514,2.4579,0.0257,-4.6466,0.0302,11.4015,0.0314,,,15.6827,1.6939,0.0029,0.007
686,119.5495,-61.0283,2.584,0.0827,-3.9032,0.096,11.5444,0.091,,,17.8187,2.8209,0.003,0.0388
687,117.0671,-61.0218,2.5693,0.026,-3.9299,0.0324,11.9727,0.0325,,,15.5648,1.6742,0.003,0.0075
688,119.8753,-60.2062,2.333,0.1067,-5.0276,0.1361,11.4256,0.122,,,18.307,2.7235,0.0031,0.0552
689,119.8899,-60.2055,2.4135,0.1364,-4.6669,0.1613,11.082,0.1644,,,18.6624,3.0769,0.0033,0.1123
690,119.917,-60.2073,2.6043,0.0261,-5.4355,0.03,11.1246,0.0349,,,6.277,-0.0299,0.0028,0.0048
691,119.6452,-61.0533,2.4758,0.0134,-5.8438,0.0176,11.4959,0.0159,23.8698,2.3418,12.9035,0.908,0.003,0.0067
692,120.49,-60.3546,2.4469,0.012,-4.9985,0.0142,11.2857,0.0164,22.0975,2.8901,13.8298,1.0849,0.0028,0.0054
696,120.2617,-58.7603,2.4793,0.0489,-5.3567,0.063,10.7744,0.0643,,,16.8086,2.1853,0.0029,0.0113
697,120.64,-60.2002,2.3904,0.0204,-4.7911,0.0261,11.8429,0.0259,,,15.2604,1.6339,0.0031,0.0085
698,122.9386,-61.7353,2.439,0.088,-5.4875,0.1088,10.8325,0.1095,,,17.9286,2.6357,0.003,0.0302
699,120.6089,-60.231,2.4497,0.0167,-5.2169,0.0216,11.374,0.0226,17.7396,5.081,14.6958,1.3314,0.0028,0.0054
700,121.1283,-59.5472,2.3179,0.0239,-5.2471,0.0311,10.388,0.0292,,,15.4249,1.5404,0.0028,0.0056
701,120.7032,-60.23,2.4284,0.0663,-4.6681,0.0963,11.4823,0.0895,,,16.3904,1.8117,0.0032,0.0561
703,118.8954,-60.9741,2.4142,0.1182,-3.9476,0.1336,11.4704,0.1282,,,18.2573,2.7135,0.0031,0.0435
704,114.6085,-61.3238,2.3526,0.0346,-3.3419,0.0473,11.6725,0.0434,,,16.0195,1.8666,0.0028,0.0069
709,116.3143,-61.1047,2.5099,0.0271,-3.6754,0.0317,12.1735,0.0377,,,15.7957,1.7649,0.0029,0.0062
710,116.0954,-61.1687,2.4414,0.0669,-4.1432,0.0952,11.756,0.0939,,,17.6737,2.8481,0.0031,0.037
712,123.4613,-61.4346,2.389,0.0127,-5.68,0.0164,10.7226,0.0142,24.159,3.4741,14.0187,1.116,0.0028,0.0054
713,120.6019,-60.5793,2.6866,0.0541,-4.9916,0.0729,11.1873,0.0727,24.929,1.9495,12.1783,0.857,0.0028,0.0049
714,122.2217,-59.6881,2.4633,0.0123,-5.5785,0.0164,9.9832,0.014,23.3415,4.4868,13.4802,1.0302,0.0028,0.0052
715,117.517,-60.9905,2.6112,0.0113,-4.238,0.0151,12.4024,0.0121,21.2629,2.3112,13.5262,1.0477,0.0028,0.0051
717,118.5725,-61.3444,2.4804,0.0138,-3.9382,0.0166,11.7567,0.0153,24.5103,1.9028,12.8787,1.0061,0.0028,0.0055
718,119.0995,-60.5137,2.4188,0.0104,-4.6911,0.0138,10.6554,0.0134,23.8066,1.8612,10.6396,0.3694,0.0028,0.0047
719,119.0777,-60.5264,2.3473,0.0432,-4.5133,0.0581,11.3706,0.0503,24.0995,0.1274,5.2033,1.6949,0.0028,0.0052
720,119.3364,-60.7789,2.4178,0.0135,-4.1032,0.0204,11.9591,0.0149,27.4373,3.4591,13.9303,1.1392,0.0028,0.0052
723,119.3649,-58.4056,2.3183,0.0114,-4.6218,0.014,10.4862,0.0147,21.6148,3.7233,13.732,1.1033,0.0028,0.0058
724,117.1662,-62.4548,2.453,0.0111,-3.7502,0.0157,11.5013,0.0121,27.4512,2.5557,13.5628,1.0194,0.0028,0.0051
725,118.7641,-61.3242,2.5396,0.0727,-4.5954,0.082,11.6334,0.0969,,,17.4634,2.5218,0.003,0.0211
726,118.8256,-61.3031,2.3801,0.0337,-3.1794,0.0436,11.4222,0.0422,,,16.0968,1.9307,0.003,0.009
727,119.355,-60.7798,2.4587,0.0141,-4.5781,0.0189,11.0781,0.0158,25.0243,2.3069,12.9128,0.9272,0.0028,0.0062
729,119.2904,-60.537,2.4116,0.0279,-3.9784,0.0342,11.015,0.0316,,,15.9472,2.0435,0.0028,0.0068
730,119.2628,-60.5479,2.4647,0.0104,-4.9103,0.0131,10.5011,0.0121,24.2623,5.9641,12.5336,0.8505,0.0028,0.0049
732,119.1838,-60.5811,2.4433,0.0112,-4.6145,0.0157,11.469,0.0124,23.3696,2.6817,13.3556,0.9781,0.0028,0.0051
733,119.1897,-61.242,2.5974,0.0847,-5.0463,0.1273,11.6934,0.1192,,,17.728,2.5446,0.003,0.0216
735,119.1419,-60.5993,2.381,0.1172,-4.8995,0.1546,10.7826,0.1567,,,18.3284,2.6641,0.0031,0.0497
736,117.5284,-59.3391,2.3086,0.0142,-3.9191,0.0178,10.438,0.0164,22.495,4.2768,14.0273,1.1316,0.0028,0.0057
737,119.2061,-60.5261,2.483,0.0544,-4.5199,0.078,10.9585,0.0652,,,17.1501,2.2628,0.0029,0.0145
738,121.2219,-59.7738,2.4301,0.0151,-4.606,0.0204,10.8139,0.0171,23.9104,3.0932,13.9735,1.1565,0.0028,0.0053
739,118.9489,-61.3215,2.4977,0.1172,-4.491,0.1352,11.3169,0.1551,,,18.1444,2.6655,0.0031,0.0537
740,117.3661,-62.2461,2.3581,0.0175,-3.8869,0.0263,11.2194,0.0194,19.0312,4.0652,14.7666,1.3253,0.0028,0.0052
741,118.8321,-61.3771,2.45,0.088,-4.7621,0.1128,11.1929,0.1165,,,17.8563,2.5804,0.003,0.0362
743,119.1604,-60.776,2.4037,0.0149,-4.5623,0.0216,10.9171,0.019,13.4938,2.4374,9.9641,0.2118,0.0028,0.0047
744,120.0474,-61.0259,2.4065,0.025,-5.324,0.0322,11.3114,0.0311,,,15.5919,1.641,0.0028,0.0062
748,118.9359,-61.2929,2.3871,0.0127,-4.8109,0.0165,11.5287,0.0161,20.629,5.0188,11.9018,0.7814,0.0028,0.0047
749,119.3177,-60.787,2.4052,0.011,-4.6223,0.0168,11.1643,0.0118,25.3996,1.2104,11.9134,0.7514,0.0028,0.0047
750,118.6324,-61.4265,2.3634,0.0614,-4.1016,0.07,10.7752,0.0698,,,17.2203,2.3403,0.0029,0.014
751,119.2539,-60.7422,2.3819,0.0886,-5.0252,0.1261,11.2451,0.0956,,,17.8246,2.4279,0.003,0.0456
752,120.1085,-61.094,2.3402,0.0797,-4.7366,0.0968,10.7153,0.0923,,,17.7437,2.5654,0.0031,0.0264
754,120.1198,-61.1291,2.4852,0.0341,-4.5551,0.0435,11.9618,0.0493,,,16.2042,1.915,0.003,0.0084
755,119.3783,-60.789,2.3698,0.0425,-4.7622,0.0608,11.4829,0.0452,,,16.5799,2.155,0.003,0.011
757,118.672,-61.3636,2.4169,0.0192,-4.5838,0.0239,10.9532,0.0218,24.2934,3.7852,13.9458,1.2194,0.0028,0.0052
759,118.8703,-61.2263,2.5324,0.0742,-4.0473,0.1079,11.2171,0.0973,,,17.6883,2.5064,0.0029,0.0314
761,118.8183,-61.2269,2.3682,0.0444,-4.4855,0.0659,11.1599,0.0586,,,16.6184,2.0685,0.0028,0.0099
762,119.0066,-60.6478,2.3984,0.0163,-5.3868,0.0237,10.5136,0.0203,21.98,8.8172,14.7027,1.3378,0.0031,0.0081
